organization,dataset_title,source_url,publication_year,data_year,retrieval_date,geographic_resolution,age_resolution,sex_resolution,variables_used,transformation,classification,purpose,limitations
Wikipedia,Local government areas of Nigeria,https://en.wikipedia.org/wiki/Local_government_areas_of_Nigeria,2023,2023,2023-10-25,LGA,None,None,State and LGA names,Table scraping,OBSERVED_SOURCE_DATA,Geography basemap,May not reflect very recent LGA border disputes
NBS,Projected Population by State,https://nigerianstat.gov.ng/,2016,2016,2023-10-25,State,None,None,Population,Manual extraction,OBSERVED_SOURCE_DATA,State distribution weighting,Based on 2006 census projections
CIA World Factbook,Nigeria Demographics,https://www.cia.gov/the-world-factbook/countries/nigeria/,2023,2023,2023-10-25,National,5-year bands,Binary,Age and sex ratios,Derived ratios,OBSERVED_SOURCE_DATA,Age/sex distribution,National average applied to all states
BehindTheName,Nigerian Names Dataset (Page 1),https://www.behindthename.com/names/usage/nigerian,2023,2023,2023-10-25,National,All,Binary,First and Last names,Web scraping and curation,OBSERVED_SOURCE_DATA,Patient naming,Linguistic compilation
BehindTheName,Nigerian Names Dataset (Page 2),https://www.behindthename.com/names/usage/nigerian/2,2023,2023,2023-10-25,National,All,Binary,First and Last names,Web scraping and curation,OBSERVED_SOURCE_DATA,Patient naming,Linguistic compilation
WHO,World Malaria Report,https://www.who.int/publications/i/item/9789240064898,2022,2022,2023-10-25,National,All,All,Prevalence,None,OBSERVED_SOURCE_DATA,Malaria probability,National average
WHO,Global Tuberculosis Report,https://www.who.int/teams/global-tuberculosis-programme/tb-reports,2022,2022,2023-10-25,National,Adults,Male Bias,"Prevalence, Incidence",Module risk probabilities,OBSERVED_SOURCE_DATA,TB Module Probability,National averages used without state level granularity
WHO,World Malaria Report (Global Malaria Programme),https://www.who.int/teams/global-malaria-programme/reports/world-malaria-report-2022,2022,2021,2023-11-01,National,All Ages,Both Sexes,"Incidence (314 per 1000) & CFR (~0.28%)",Malaria incidence and mortality probabilities,OBSERVED_SOURCE_DATA,Malaria Module Probabilities,National averages used without state level ecological modelling
UNAIDS & NAIIS,UNAIDS Nigeria Epidemiological Data,https://www.unaids.org/en/regionscountries/countries/nigeria,2022,2022,2023-11-01,National,Adults 15-49,Female Bias,"Incidence (0.034% ann) & Prevalence (1.4% adult)",HIV Module Probabilities,OBSERVED_SOURCE_DATA,HIV Module Probabilities,National averages used without state level modelling
WHO & UNICEF,Pneumonia and LRI Burden,https://data.unicef.org/topic/child-health/pneumonia/,2022,2022,2023-11-01,National,U5 and Adults,Uniform,"U5 Incidence (~20% ann), Adult (~3% ann)",LRI Module Probabilities,OBSERVED_SOURCE_DATA,LRI Module Probabilities,National averages
NDHS & UNICEF,Nigeria Demographic and Health Survey 2018 Final Report,https://dhsprogram.com/publications/publication-fr359-dhs-final-reports.cfm,2019,2018,2023-11-01,National,Neonatal (0-28 days),Uniform,"Prematurity (12%), Sepsis (1.5%), Asphyxia (1.5%)",Neonatal Module Risk,OBSERVED_SOURCE_DATA,Neonatal Probabilities,National averages used without state level modelling
NDHS & WHO,Diarrhoeal Disease Factsheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,2022,2018,2023-11-01,National,U5 and Adults,Uniform,"U5 Incidence (high), Adult (moderate)",Diarrhea Module Probabilities,OBSERVED_SOURCE_DATA,Diarrheal Probabilities,National averages used without state level modelling
IHME / GBD,Global Burden of Disease - Stroke in Nigeria,https://www.healthdata.org/research-analysis/gbd,2022,2019,2023-11-01,National,Adults/Elderly,Uniform,"Incidence ~70/100k, Case Fatality ~30%",Stroke Module Probabilities,OBSERVED_SOURCE_DATA,Stroke Probabilities,National averages used. Hypertension unmodeled.
RACE-Nigeria Registry,Acute Coronary Syndrome in Nigeria (RACE-Nigeria),https://pubmed.ncbi.nlm.nih.gov/32958448/,2020,2019,2023-11-01,Hospitalized Adults,Adults/Elderly,Uniform,"ACS Incidence ~59.1/100k, Mortality ~8.1%",IHD Module Probabilities,OBSERVED_SOURCE_DATA,IHD Probabilities,National averages used. Hypertension unmodeled.
davepartner / Github,list-of-nigerian-names,https://github.com/davepartner/list-of-nigerian-names,2021,2021,2023-11-01,Nigerian Names,All,Uniform,Nigerian Name Database,Name generation,OBSERVED_SOURCE_DATA,Expanded name pools,"Classified algorithmically. True frequency unavailable, modelled Zipf distribution used."
NCDC,Epidemiological Situation of Cerebrospinal Meningitis in Nigeria,https://ncdc.gov.ng/diseases/factsheet/49,2024,2023,2024-01-15,State,All,Uniform,"CFR: 8.5%, Regional concentration: Northern States",Meningitis Module Probabilities,OBSERVED_SOURCE_DATA,Meningitis cases heavily clustered in North,Official NCDC Surveillance Report
Sickle Cell Foundation Nigeria,Nigerian Sickle Cell Epidemiology,https://www.sicklecellfoundation.com/,2023,2023,2024-01-15,National,All,Both Sexes,"HbAS: 25%, HbSS: ~2.5%, High childhood mortality <5",Genotype inheritance probabilities,OBSERVED_SOURCE_DATA,Used to model genotype inheritance probabilistically at birth,National clinical guidelines
